날짜,출처,제목,본문 요약 ,URL
,서울신문언론사,한진家 남매갈등 분수령…주주제안 앞두고 업계 긴장감(종합),"조 회장은 지난 6~7일 대한항공·한진칼 이사회에서 서울 송현동 부지와 왕산마리나, 제주 호텔파라다이스... 제주 제동목장, 정석비행장 등이 거론되지만 가능성은 적은 것으로 알려졌다. 재계 관계자는 “제동목장은...",https://www.seoul.co.kr/news/newsView.php?id=20200212500127&wlog_tag3=naver
17면1단,한겨레,"제주용암수 일부 국내판매…오리온, 제주도와 협상 타결",‘제주용암수’ 국내판매를 둘러싸고 제주도와 갈등을 빚었던 오리온이 협상을 마무리 짓고 국내판매를 일부 할 수 있게 됐다. 오리온은 30일 제주특별자치도청과 제주용암수의 국내 판매에 관한 합의에 이르렀다고...,http://www.hani.co.kr/arti/economy/consumer/926259.html
2020.02.12.,노컷뉴스,'갈등에서 대화로' 제주 제2공항 대타협 이뤄지나,제주 제2공항 갈등이 계속되는 상황을 방치할 수 없다는 판단이 컸던 건데요. 또 언론사 등의 설 민심 여론조사에서 찬성보다 반대가 근소하게 많은 것도 국토부는 물론 제주도 등에 부담을 준 것으로 보입니다. 이상헌...,https://www.nocutnews.co.kr/news/5287920
2020.01.30.,한겨레,"오리온, 제주용암수 국내판매 제한적 허용",미네랄음료인 오리온의 ‘제주용암수’ 국내판매를 둘러싸고 갈등을 빚어온 제주도와 오리온이 협상을 잠정 타결했다. 이에 따라 오리온은 제주용암수를 제한적으로 국내에 판매할 수 있게 됐다. 제주도와...,http://www.hani.co.kr/arti/area/jeju/926220.html
2020.02.12.,아시아경제,"제주항공, '위기경영체제' 선포…경영진 임금 30% 반납·무급휴가 확대","제주항공이 비상경영을 넘어 '위기경영체제'를 선포하고 경영진의 임금 30%를 먼저 반납키로 했다. 지난해 한·일 갈등에 따른 일본여행 불매운동을 시작으로, 올해 초 '코로나19(COVID-19)' 사태로 항공업계가 고사위기에...",https://view.asiae.co.kr/article/2020021214205007501
2020.02.16.,제주일보,서울제주도민회장 3월에 '강한일-강선언' 경선,서울제주도민회가 갈등을 봉합한 뒤 갖는 첫 도민회장 선거에 강한일 삼원기계(주) 대표이사(67)와 강성언 전 서울시의원(67)이 각각 출사표를 던져 경선을 치르게 된다. 16일 서울도민회에 따르면 지난 5~14일 열흘간...,http://www.jejuilbo.net/news/articleView.html?idxno=139504
2020.01.31.,뉴스1,"제주도-도의회, 제2공항 건설 갈등해소 합동토론회 추진",제주특별자치도와 제주도의회가 '제주 제2공항 갈등해소를 위한 합동토론회'를 개최하는 등 제주 제2공항 갈등해소에 힘을 모은다. 원희룡 제주도지사와 제주도의회 제2공항 건설 갈등 해소를 위한 특별위원회(이하...,http://news1.kr/articles/?3829721
4일,뉴스1,"[오늘의 주요일정]제주(20일, 목)",= ◇제주특별자치도 -김태석 도의회 의장 15:00 제2공항 건설 갈등 해소를 위한 갈등영향분석 용역 추진상황 설명회(도의회 대회의실),http://news1.kr/articles/?3847187
7일,제주신보,"제주가족사랑상담소, 지난해 위기가정 6795건 상담","상담 유형을 보면 가정폭력 2575건(38%), 부부 갈등 1926건(28%), 이혼 874건(13%), 가족문제 838건(12%), 성폭력 213건(3%) 등 순이다. 제주가족사랑상담소는 여성 피해자 가운데 196명에 대해선 경찰에 수사를 의뢰를 하면서...",http://www.jejunews.com/news/articleView.html?idxno=2157202
2020.02.10.,뉴스1,"10년전 실패서 교훈 얻었나…제주, 거주자 우선주차제 재도입","그런데 주차면을 배정받은 거주자들이 주차공간을 개인전용으로 인식, 지정시간 외에도 장기간 점유하면서 주민 갈등이 발생하자 제주시는 1년7개월 만에 제도를 폐지한 바 있다. 당시 거주자 우선주차장에 무단으로...",http://news1.kr/articles/?3837934
26면,한국일보,“해녀는 제주 보물… 20여년 앵글에 담아”,“해녀는 제주의 보물입니다. 해녀를 지키는 것이 우리가 반드시 해야 할 일입니다.” 지난 8일 제주... 스쿠버다이버들과의 갈등”이라고 안타까워 했다. 양 교수는 “이 문제를 놓고 해녀사진전을 계기로 해양경찰청에...,http://www.hankookilbo.com/news/npath/202002111540795786?did=NA
선정,SBS,"오리온, 생수사업에 차질 빚나?…제주도와 ‘물싸움’","오리온과 제주도는 왜 갈등을 빚고 있나요? 국내 사업이 문제가 됐습니다. 오리온은 장기적으로 중국과 베트남 시장을 염두에 둔 것은 맞지만, 생수사업에 첫 진출하는 만큼 국내시장에서도 기반이 있어야 한다는...",https://cnbc.sbs.co.kr/article_hub/10000964689?division=NAVER
2020.02.12.,제주신보,"제주시 소통협력센터, 제주대링크플러스사업단 협약 체결","제주시 소통협력센터(센터장 민복기)와 제주대학교 링크플러스사업단(단장 강철웅)은 지난 22일 센터 회의실에서 제주지역 갈등 해결과 사회적 가치 실현, 지역밀착 생활실험, 혁신사례 오픈 아카이브 등을 수행하기 위한...",http://www.jejunews.com/news/articleView.html?idxno=2156883
12면1단,한겨레,"제주도민 56% ""제주 2공항 건설 반대""","또 2공항 갈등해결을 위해 제주도의회가 추진하고 있는 도민의견수렴 방안에 대해서는 찬성 의견이 76.0%로 반대(12.4%)보다 6배 이상 많았다. 도민회의는 이번 조사 결과를 근거로 정부 부처와 청와대, 국회 등에...",http://www.hani.co.kr/arti/society/society_general/925262.html
A11면,경향신문,"제주 ‘이주 열풍’, 8년 만에 시들해졌다","주택 마련 비용이 크게 상승한 데다 인구 증가로 대도시와 다를 바 없는 교통혼잡과 주차난, 일자리 부족, 대규모 개발사업에 따른 환경훼손과 주민갈등 등이 잇따르면서 ‘제주 이주 매력’이 반감된 셈이다....",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202001302128005&code=620117
2020.02.10.,제주의소리,'제주외고 일반고 전환' 공론화 돌입...4월말 결과 도출,"한편, 지난 7일 제주도의회 강충룡·부공남·김창식 의원 등의 주재로 열린 간담회에서 제주외고 학부모·동문 등은 제주외고의 존치를 주장하고 나서면서 갈등을 예고한 바 있다.",http://www.jejusori.net/news/articleView.html?idxno=311706
,KBS언론사,[앵커의 눈] 국책사업 제주제2공항 갈등…지방의회가 해결?,지난해 11월 제주 제2공항 갈등해소를 위한 특별위원회를 출범한 제주도의회는 최근 갈등해소 전문가까지 위촉하며 본격 활동에 나섰습니다. 앞으로 다섯 달 동안 갈등해소와 도민 의견 수렴 방안을 모색할 예정입니다....,http://news.kbs.co.kr/news/view.do?ncd=4354172&ref=A
,KBS언론사,사업은 정부가…갈등 해결은 지방의회가?,제주 제2공항 둘러싼 갈등 왜? 제주 제2공항은 국토교통부에서 추진한 제주 공항인프라 사전타당성용역을 통해 2015년 11월에 현재의 서귀포시 성산읍으로 결정됐다. 여의도 면적 두 배와 맞먹는 545만 ㎡ 규모 부지에...,http://news.kbs.co.kr/news/view.do?ncd=4354430&ref=A
